Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
3/1/2014,RER,C,RER C,83.60,10.80
3/1/2014,RER,D,RER D,83.60,7.30
3/1/2014,RER,E,RER E,83.60,16.90
3/1/2014,Transilien,H,Paris Nord Ouest,83.60,26.80
3/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,6.80
3/1/2014,Transilien,K,Paris Nord Crépy,83.60,7.30
3/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,7.50
3/1/2014,Transilien,N,Paris Montparnasse,83.60,20.70
3/1/2014,Transilien,P,Paris Est,83.60,7.90
3/1/2014,Transilien,R,Paris Sud Est,83.60,10.80
3/1/2014,Transilien,U,La Verrière - La Défense,83.60,15.70
4/1/2014,RER,A,RER A,83.60,6.00
4/1/2014,RER,B,RER B,83.60,7.70
4/1/2014,RER,C,RER C,83.60,10.90
4/1/2014,RER,D,RER D,83.60,7.70
4/1/2014,RER,E,RER E,83.60,15.40
4/1/2014,Transilien,H,Paris Nord Ouest,83.60,22.30
4/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,8.00
4/1/2014,Transilien,K,Paris Nord Crépy,83.60,6.70
4/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,6.50
4/1/2014,Transilien,N,Paris Montparnasse,83.60,22.80
4/1/2014,Transilien,P,Paris Est,83.60,7.30
4/1/2014,Transilien,R,Paris Sud Est,83.60,7.70
4/1/2014,Transilien,U,La Verrière - La Défense,83.60,17.20
5/1/2014,RER,A,RER A,83.60,7.10
5/1/2014,RER,B,RER B,83.60,8.40
5/1/2014,RER,C,RER C,83.60,11.00
5/1/2014,RER,D,RER D,83.60,6.10
5/1/2014,RER,E,RER E,83.60,13.90
5/1/2014,Transilien,H,Paris Nord Ouest,83.60,31.30
5/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,6.80
5/1/2014,Transilien,K,Paris Nord Crépy,83.60,11.30
5/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,7.90
5/1/2014,Transilien,N,Paris Montparnasse,83.60,24.60
5/1/2014,Transilien,P,Paris Est,83.60,12.70
5/1/2014,Transilien,R,Paris Sud Est,83.60,8.70
5/1/2014,Transilien,U,La Verrière - La Défense,83.60,15.70
6/1/2014,RER,A,RER A,83.60,2.60
6/1/2014,RER,C,RER C,83.60,6.90
6/1/2014,RER,D,RER D,83.60,5.80
6/1/2014,RER,E,RER E,83.60,20.70
6/1/2014,Transilien,H,Paris Nord Ouest,83.60,15.40
6/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,5.60
6/1/2014,Transilien,K,Paris Nord Crépy,83.60,3.90
6/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,5.30
6/1/2014,Transilien,N,Paris Montparnasse,83.60,17.90
6/1/2014,Transilien,P,Paris Est,83.60,8.40
6/1/2014,Transilien,R,Paris Sud Est,83.60,6.20
6/1/2014,Transilien,U,La Verrière - La Défense,83.60,21.20
7/1/2014,RER,A,RER A,83.60,2.40
7/1/2014,RER,B,RER B,83.60,6.60
